Nome;Nome fantasia;C.N.P.J.;Endereço;Tipo logradouro;Cidade;Estado;C.E.P.;Telefone;Número;Bairro;Celular;Data de credenciamento;E-mail;Grupo;Classificação;Especialidades;Espec. + Áreas de atuação;Natureza de Atendimento;Regime de Atendimento
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;FONOAUDIOLOGIA;FONOAUDIOLOGIA;Ambulatorial;Eletivo
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A C DA COSTA REINALDO SERVICOS PSICOLOGICOS;ESPACO EVOLUIR;54.640.307/0001-86;PAINEIRA;RUA;ARIQUEMES;RO;76870-107;(69)9938-16902;1576;SETOR 1;;12/09/2025;psianareinaldo@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A C DA SILVA GOMES E R V PACHECO MORAES LTDA;A C DA SILVA GOMES & R V PACHECO MORAES;54.506.070/0001-45;HELENA RODRIGUES PORTO;RUA;ARCOVERDE;PE;56505-350;(87)2159-0338;6;CENTRO;;16/12/2025;tatiigalindo.anutri@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
A C DA SILVA GOMES E R V PACHECO MORAES LTDA;A C DA SILVA GOMES & R V PACHECO MORAES;54.506.070/0001-45;HELENA RODRIGUES PORTO;RUA;ARCOVERDE;PE;56505-350;(87)2159-0338;6;CENTRO;;16/12/2025;tatiigalindo.anutri@gmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
A C S S SERVICOS DE FISIOTERAPIA LTDA;CLINICA SANDES;25.035.923/0001-00;AGRIPIO RAMOS;RUA;CATU;BA;48110-000;(71)9961-51234;97;CENTRO;;25/06/2025;evoluir_fisio@hotmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
A C S S SERVICOS DE FISIOTERAPIA LTDA;CLINICA SANDES;25.035.923/0001-00;AGRIPIO RAMOS;RUA;CATU;BA;48110-000;(71)9961-51234;97;CENTRO;;25/06/2025;evoluir_fisio@hotmail.com;Serviço de diagnose ;CLINICA;NUTRICAO;NUTRICAO;Ambulatorial;Eletivo
A C S S SERVICOS DE FISIOTERAPIA LTDA;CLINICA SANDES;25.035.923/0001-00;AGRIPIO RAMOS;RUA;CATU;BA;48110-000;(71)9961-51234;97;CENTRO;;25/06/2025;evoluir_fisio@hotmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A C S S SERVICOS DE FISIOTERAPIA LTDA;CLINICA SANDES;25.035.923/0001-00;AGRIPIO RAMOS;RUA;CATU;BA;48110-000;(71)9961-51234;97;CENTRO;;25/06/2025;evoluir_fisio@hotmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A C SERVICOS MEDICOS LTDA;A C DE MOURA BARROS;41.675.706/0001-30;GOVERNADOR RAIMUNDO ARTUR DE VASCONCELOS;RUA;TERESINA;PI;64001-450;(86)9999-76007;670;CENTRO;;01/07/2025;adm.clinicaanabarros@gmail.com;Clínica;CLINICA;CLINICA MEDICA;CLINICA MEDICA;Ambulatorial;Eletivo
A C SERVICOS MEDICOS LTDA;A C DE MOURA BARROS;41.675.706/0001-30;GOVERNADOR RAIMUNDO ARTUR DE VASCONCELOS;RUA;TERESINA;PI;64001-450;(86)9999-76007;670;CENTRO;;01/07/2025;adm.clinicaanabarros@gmail.com;Clínica;CLINICA;PSIQUIATRIA;PSIQUIATRIA;Ambulatorial;Eletivo
A C SERVICOS MEDICOS LTDA;A C DE MOURA BARROS;41.675.706/0001-30;GOVERNADOR RAIMUNDO ARTUR DE VASCONCELOS;RUA;TERESINA;PI;64001-450;(86)9999-76007;670;CENTRO;;01/07/2025;adm.clinicaanabarros@gmail.com;Clínica;CLINICA;PSIQUIATRIA;PSIQUIATRIA;Ambulatorial;Eletivo
A DE SOUZA MONTEIRO LTDA;ESPACO INTERAGINDO;42.582.630/0001-61;SALGADO FILHO;AVENIDA;MACAPA;AP;68901-281;(96)9842-85478;974;SANTA RITA;;26/06/2025;assfiel4@gmail.com;Serviço de diagnose ;CLINICA;FISIOTERAPIA;FISIOTERAPIA;Ambulatorial;Eletivo
A DE SOUZA MONTEIRO LTDA;ESPACO INTERAGINDO;42.582.630/0001-61;SALGADO FILHO;AVENIDA;MACAPA;AP;68901-281;(96)9842-85478;974;SANTA RITA;;26/06/2025;assfiel4@gmail.com;Serviço de diagnose ;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A DE SOUZA MONTEIRO LTDA;ESPACO INTERAGINDO;42.582.630/0001-61;SALGADO FILHO;AVENIDA;MACAPA;AP;68901-281;(96)9842-85478;974;SANTA RITA;;26/06/2025;assfiel4@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A DE SOUZA MONTEIRO LTDA;ESPACO INTERAGINDO;42.582.630/0001-61;SALGADO FILHO;AVENIDA;MACAPA;AP;68901-281;(96)9842-85478;974;SANTA RITA;;26/06/2025;assfiel4@gmail.com;Serviço de diagnose ;CLINICA;TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL;Ambulatorial;Eletivo
A E M MEDIC SERVICE LTDA;A E M MEDIC SERVICE;51.971.731/0001-15;VILELA;RUA;SAO PAULO;SP;03314-000;(11)9730-15515;652;TATUAPE;;06/02/2026;jeffm.menezes@gmail.com;Clínica;CLINICA;CIRURGIA DO APARELHO DIGESTIVO;CIRURGIA DO APARELHO DIGESTIVO - CIRURGIA BARIATRICA;Ambulatorial;Eletivo
A E M MEDIC SERVICE LTDA;A E M MEDIC SERVICE;51.971.731/0001-15;VILELA;RUA;SAO PAULO;SP;03314-000;(11)9730-15515;652;TATUAPE;;06/02/2026;jeffm.menezes@gmail.com;Clínica;CLINICA;CIRURGIA GERAL;CIRURGIA GERAL - CIRURGIA BARIATRICA;Ambulatorial;Eletivo
A E M MEDIC SERVICE LTDA;A E M MEDIC SERVICE;51.971.731/0001-15;VILELA;RUA;SAO PAULO;SP;03314-000;(11)9730-15515;652;TATUAPE;;06/02/2026;jeffm.menezes@gmail.com;Clínica;CLINICA;COLOPROCTOLOGIA;COLOPROCTOLOGIA;Ambulatorial;Eletivo
A E M MEDIC SERVICE LTDA;A E M MEDIC SERVICE;51.971.731/0001-15;VILELA;RUA;SAO PAULO;SP;03314-000;(11)9730-15515;652;TATUAPE;;06/02/2026;jeffm.menezes@gmail.com;Clínica;CLINICA;GASTROENTEROLOGIA;GASTROENTEROLOGIA;Ambulatorial;Eletivo
A E M MEDIC SERVICE LTDA;A E M MEDIC SERVICE;51.971.731/0001-15;VILELA;RUA;SAO PAULO;SP;03314-000;(11)9730-15515;652;TATUAPE;;06/02/2026;jeffm.menezes@gmail.com;Clínica;CLINICA;GASTROENTEROLOGIA;GASTROENTEROLOGIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;CLINICA MEDICA;CLINICA MEDICA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;DERMATOLOGIA;DERMATOLOGIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;ENDOCRINOLOGIA E METABOLOGIA;ENDOCRINOLOGIA E METABOLOGIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;FONOAUDIOLOGIA;FONOAUDIOLOGIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;GASTROENTEROLOGIA;GASTROENTEROLOGIA - GASTROENTEROLOGIA PEDIATRICA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;GINECOLOGIA E OBSTETRICIA;GINECOLOGIA E OBSTETRICIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;NUTROLOGIA;NUTROLOGIA - NUTROLOGIA PEDIATRICA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;PATOLOGIA CLINICA/MEDICINA LABORATORIAL;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;PEDIATRIA;PEDIATRIA - NEUROLOGIA PEDIATRICA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;PSICOLOGIA;PSICOLOGIA;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;Ambulatorial;Eletivo
A E R SAUDE LTDA;MEDICMAIS;40.113.207/0001-97;BARAO DE MARUIM;AVENIDA;ARACAJU;SE;49015-040;(79)3012-9022;921;SAO JOSE;;18/11/2025;administrativo@medicmaisaracaju.com.br;Clínica;CLINICA;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;RADIOLOGIA E DIAGNOSTICO POR IMAGEM ;Ambulatorial;Eletivo
A ESTANCIA MORRO GRANDE CENTRO DE REABILITACAO SOC;ESTANCIA MORRO GRANDE;05.832.865/0001-38;IBN;ESTANCIA;IBIUNA;SP;18150000;;SN;SOROCABUCU;;20/01/2026;faturamento@estanciamorrogrande.com.br;Hospital Especializa;HOSPITAL;CLINICA MEDICA;CLINICA MEDICA;Ambulatorial;Eletivo
A ESTANCIA MORRO GRANDE CENTRO DE REABILITACAO SOC;ESTANCIA MORRO GRANDE;05.832.865/0001-38;NAKAYAMA;RUA;IBIUNA;SP;18152-038;(15)3241-1790;150;CURRAL;;20/01/2026;faturamento@estanciamorrogrande.com.br;Hospital Especializa;HOSPITAL;NUTRICAO;NUTRICAO;Ambulatorial e Internação;Eletivo
A ESTANCIA MORRO GRANDE CENTRO DE REABILITACAO SOC;ESTANCIA MORRO GRANDE;05.832.865/0001-38;OSWALDO SEGAMARCHI;RUA;SOROCABA;SP;18090050;;15;JARDIM SANTA ROSALIA;;20/01/2026;faturamento@estanciamorrogrande.com.br;Hospital Especializa;HOSPITAL;PSICOLOGIA;PSICOLOGIA;Ambulatorial e Internação;Eletivo
